num machines: 3,ticks per second: 5,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614756788.902821,1,work,,,
1614756789.1533928,2,send,0,,
1614756789.1847491,2,send,1,,
1614756789.3060741,3,receive,,0,1
1614756789.50979,4,work,,,
1614756789.754234,5,send,0,,
1614756789.7865632,5,send,1,,
1614756789.915744,6,work,,,
1614756790.1160488,7,work,,,
1614756790.316201,8,work,,,
1614756790.516757,9,work,,,
1614756790.762775,10,send,0,,
1614756790.920737,11,work,,,
1614756791.125721,12,receive,,1,1
1614756791.327498,13,receive,,0,1
1614756791.528129,14,work,,,
1614756791.7315898,15,work,,,
1614756791.935866,16,work,,,
1614756792.138748,17,receive,,1,1
1614756792.389127,18,send,1,,
1614756792.545799,19,work,,,
1614756792.794434,20,send,0,,
1614756792.9515772,21,receive,,0,3
1614756793.156353,22,receive,,1,2
1614756793.35688,23,receive,,1,1
1614756793.5591948,24,work,,,
1614756793.799006,25,send,0,,
1614756794.00678,26,send,1,,
1614756794.161643,27,receive,,1,1
1614756794.3666492,28,work,,,
1614756794.5693598,29,work,,,
1614756794.773639,30,receive,,1,1
1614756795.009902,31,send,0,,
1614756795.181112,32,work,,,
1614756795.3813918,33,work,,,
1614756795.623536,34,send,0,,
1614756795.819108,35,send,0,,
1614756795.988681,36,work,,,
1614756796.1916091,37,work,,,
1614756796.395854,38,receive,,1,1
1614756796.645612,39,send,1,,
1614756796.84331,40,send,0,,
1614756796.870694,40,send,1,,
1614756797.006586,41,work,,,
1614756797.2349608,42,send,0,,
1614756797.260295,42,send,1,,
1614756797.4123929,43,work,,,
1614756797.645749,44,send,1,,
1614756797.8155751,45,work,,,
1614756798.016541,46,work,,,
1614756798.220594,47,receive,,0,1
1614756798.46733,48,send,1,,
1614756798.626139,49,work,,,
1614756798.870271,50,send,0,,
1614756798.9004118,50,send,1,,
1614756799.027318,51,work,,,
1614756799.269972,52,send,1,,
1614756799.429974,53,receive,,0,1
1614756799.6653109,54,send,0,,
1614756799.6931388,54,send,1,,
1614756799.8356018,55,receive,,0,1
1614756800.037486,56,work,,,
1614756800.238026,57,receive,,1,1
1614756800.438024,58,work,,,
1614756800.638832,59,receive,,1,1
1614756800.842185,60,work,,,
1614756801.04581,61,work,,,
1614756801.246743,62,work,,,
1614756801.448639,63,work,,,
1614756801.6517582,64,work,,,
1614756801.899072,65,send,0,,
1614756802.058198,66,work,,,
1614756802.2621891,67,receive,,1,1
1614756802.465499,68,work,,,
1614756802.6659799,69,receive,,1,1
1614756802.867796,70,work,,,
1614756803.0715232,71,work,,,
1614756803.2756832,72,receive,,0,1
1614756803.475764,73,receive,,0,1
1614756803.675922,74,receive,,1,1
1614756803.87819,75,work,,,
1614756804.123428,76,send,0,,
1614756804.2832792,77,receive,,0,1
1614756804.52244,78,send,1,,
1614756804.686651,79,receive,,0,2
1614756804.8895628,80,receive,,1,1
1614756805.091691,81,receive,,0,1
1614756805.295626,82,receive,,0,1
1614756805.497813,83,receive,,0,1
1614756805.701299,84,work,,,
1614756805.901852,85,receive,,1,1
1614756806.105671,86,work,,,
1614756806.306496,87,work,,,
1614756806.543744,88,send,1,,
1614756806.753257,89,send,1,,
1614756806.91169,90,work,,,
1614756807.116232,91,work,,,
1614756807.3192608,92,work,,,
1614756807.5237188,93,work,,,
1614756807.725564,94,work,,,
1614756807.926102,95,receive,,1,1
1614756808.156117,96,send,0,,
1614756808.3315682,97,work,,,
1614756808.5368252,98,receive,,1,1
1614756808.7379808,99,work,,,
1614756808.9418812,100,receive,,1,1
1614756809.145877,101,work,,,
1614756809.349931,102,work,,,
1614756809.552172,103,receive,,1,1
1614756809.7556999,104,work,,,
1614756809.994675,105,send,0,,
1614756810.023628,105,send,1,,
1614756810.156727,106,receive,,1,2
1614756810.358461,107,receive,,0,1
1614756810.601807,108,send,0,,
1614756810.795325,109,send,1,,
1614756811.011555,110,send,1,,
1614756811.207516,111,send,1,,
1614756811.4132779,112,send,0,,
1614756811.442345,112,send,1,,
1614756811.5992131,113,send,0,,
1614756811.804845,114,send,0,,
1614756811.835937,114,send,1,,
1614756811.976704,115,work,,,
1614756812.179162,116,work,,,
1614756812.379333,117,receive,,0,1
1614756812.582897,118,work,,,
1614756812.823361,119,send,0,,
1614756812.99266,120,work,,,
1614756813.196683,121,work,,,
1614756813.436516,122,send,0,,
1614756813.464996,122,send,1,,
1614756813.601908,123,work,,,
1614756813.805606,124,work,,,
1614756814.0057201,125,receive,,0,1
1614756814.206665,126,work,,,
1614756814.410452,127,work,,,
1614756814.611645,128,receive,,1,1
1614756814.815636,129,receive,,1,1
1614756815.015916,130,receive,,0,1
1614756815.219072,131,work,,,
1614756815.466791,132,send,0,,
1614756815.622041,133,work,,,
1614756815.8255832,134,work,,,
1614756816.028667,135,receive,,1,1
1614756816.232269,136,receive,,1,1
1614756816.435599,137,work,,,
1614756816.6396239,138,work,,,
1614756816.8416052,139,work,,,
1614756817.045611,140,work,,,
1614756817.28416,141,send,0,,
1614756817.314965,141,send,1,,
1614756817.449881,142,work,,,
1614756817.652715,143,work,,,
1614756817.8558972,144,work,,,
1614756818.0560791,145,work,,,
1614756818.2593138,146,work,,,
1614756818.499656,147,send,1,,
1614756818.66802,148,work,,,
1614756818.871583,149,work,,,
1614756819.075712,150,receive,,1,1
1614756819.311115,151,send,1,,
1614756819.482993,152,work,,,
1614756819.6869261,154,receive,,1,1
1614756819.8909109,155,work,,,
1614756820.091626,156,receive,,0,2
1614756820.295531,157,receive,,0,1
1614756820.496725,158,receive,,0,1
1614756820.696778,159,work,,,
1614756820.8975308,160,receive,,1,1
1614756821.101058,161,work,,,
1614756821.3011541,162,work,,,
1614756821.50331,163,receive,,0,2
1614756821.7033238,164,receive,,1,1
1614756821.944638,165,send,0,,
1614756822.106863,166,receive,,1,1
1614756822.306675,167,work,,,
1614756822.511841,168,receive,,1,1
1614756822.71584,169,work,,,
1614756822.917235,170,work,,,
1614756823.121245,171,receive,,1,1
1614756823.3242419,172,receive,,1,1
1614756823.564234,173,send,1,,
1614756823.7267342,174,work,,,
1614756823.927191,175,work,,,
1614756824.1291788,176,work,,,
1614756824.375668,177,send,0,,
1614756824.404156,177,send,1,,
1614756824.536709,178,work,,,
1614756824.781047,179,send,1,,
1614756824.9417028,180,receive,,1,1
1614756825.145689,181,work,,,
1614756825.3473191,182,receive,,0,2
1614756825.551838,183,receive,,1,1
1614756825.752227,184,work,,,
1614756825.986864,185,send,1,,
1614756826.1599119,186,receive,,0,1
1614756826.362335,187,work,,,
1614756826.566874,188,receive,,0,1
1614756826.767879,189,work,,,
1614756827.036268,190,send,0,,
1614756827.1756659,191,work,,,
1614756827.3799481,192,work,,,
1614756827.5833862,193,work,,,
1614756827.78662,194,work,,,
1614756828.0275168,195,send,0,,
1614756828.195557,196,receive,,0,2
1614756828.395591,197,receive,,0,2
1614756828.5994282,198,receive,,1,3
1614756828.802429,199,receive,,1,2
1614756829.00609,200,receive,,1,1
1614756829.252587,201,send,0,,
1614756829.282538,201,send,1,,
1614756829.411318,202,work,,,
1614756829.655503,203,send,1,,
1614756829.8181279,204,work,,,
1614756830.0184698,205,work,,,
1614756830.220674,206,work,,,
1614756830.4238012,207,receive,,0,1
1614756830.662851,208,send,1,,
1614756830.825872,209,receive,,1,1
1614756831.029747,210,work,,,
1614756831.2322292,212,receive,,0,1
1614756831.436609,213,receive,,0,1
1614756831.6367218,214,work,,,
1614756831.836786,215,work,,,
1614756832.0419781,216,work,,,
1614756832.245804,217,work,,,
1614756832.483286,218,send,0,,
1614756832.5141811,218,send,1,,
1614756832.6515641,219,work,,,
1614756832.8567019,220,work,,,
1614756833.06124,221,work,,,
1614756833.262847,223,receive,,0,1
1614756833.465685,224,work,,,
1614756833.6662312,225,work,,,
1614756833.870977,226,receive,,0,1
1614756834.072374,227,work,,,
1614756834.275584,228,work,,,
1614756834.476898,229,receive,,1,1
1614756834.679619,230,work,,,
1614756834.883235,231,work,,,
1614756835.083377,232,work,,,
1614756835.327195,233,send,0,,
1614756835.360548,233,send,1,,
1614756835.490792,234,receive,,1,1
1614756835.692796,235,work,,,
1614756835.924452,236,send,1,,
1614756836.0979369,237,work,,,
1614756836.301127,239,receive,,1,1
1614756836.505256,240,work,,,
