num machines: 12,ticks per second: 3,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614810688.7118359,1,send,5,,
1614810688.935149,2,receive,,8,3
1614810689.272397,3,receive,,4,2
1614810689.6059809,4,receive,,9,1
1614810689.939426,6,receive,,9,1
1614810690.294562,7,send,1,,
1614810690.607736,9,receive,,10,3
1614810690.943752,10,receive,,9,3
1614810691.280715,11,receive,,6,2
1614810691.617273,12,receive,,9,3
1614810691.9544508,13,receive,,11,4
1614810692.290775,14,receive,,8,5
1614810692.6242182,15,receive,,11,5
1614810692.957619,16,receive,,4,4
1614810693.2926269,17,receive,,7,4
1614810693.62597,18,receive,,9,5
1614810693.9594,19,receive,,10,4
1614810694.292834,20,receive,,6,3
1614810694.6261919,21,receive,,7,2
1614810694.962674,22,receive,,8,3
1614810695.296112,26,receive,,10,3
1614810695.630563,27,receive,,7,4
1614810695.9665082,28,receive,,11,4
1614810696.299913,29,receive,,7,3
1614810696.6332958,31,receive,,6,3
1614810696.968777,32,receive,,10,3
1614810697.306298,34,receive,,6,2
1614810697.642192,35,receive,,10,1
1614810697.9781408,38,receive,,8,4
1614810698.311507,40,receive,,6,5
1614810698.648642,41,receive,,11,6
1614810698.983548,42,receive,,9,6
1614810699.319123,43,receive,,6,6
1614810699.656327,44,receive,,8,8
1614810699.990891,45,receive,,6,8
1614810700.325875,46,receive,,8,9
1614810700.662109,47,receive,,11,9
1614810700.995517,48,receive,,8,9
1614810701.3299232,49,receive,,6,9
1614810701.6645818,50,receive,,8,9
1614810701.998611,51,receive,,11,9
1614810702.331955,52,receive,,10,9
1614810702.669395,53,receive,,6,10
1614810703.003386,54,receive,,7,11
1614810703.338101,55,receive,,4,12
1614810703.674686,56,receive,,9,12
1614810704.0095518,57,receive,,9,13
1614810704.343827,58,receive,,8,12
1614810704.6771631,59,receive,,11,12
1614810705.010611,60,receive,,8,13
1614810705.344641,61,receive,,10,13
1614810705.6787999,62,receive,,6,14
1614810706.014797,63,receive,,10,14
1614810706.3484821,64,receive,,11,13
1614810706.6836429,65,receive,,10,13
1614810707.020035,66,receive,,9,13
1614810707.3559139,67,receive,,6,14
1614810707.6927109,68,receive,,11,15
1614810708.029938,69,receive,,8,17
1614810708.364213,70,receive,,9,16
1614810708.698096,71,receive,,9,16
1614810709.031481,72,receive,,11,18
1614810709.366168,73,receive,,9,17
1614810709.7020202,74,receive,,11,17
1614810710.038788,75,receive,,9,18
1614810710.37326,76,receive,,10,19
1614810710.710185,77,receive,,6,18
1614810711.046792,78,receive,,11,18
1614810711.380996,79,receive,,6,18
1614810711.714319,80,receive,,10,18
1614810712.047741,81,receive,,8,19
1614810712.3812668,82,receive,,11,21
1614810712.715297,83,receive,,8,21
1614810713.050872,84,receive,,10,22
1614810713.384324,85,receive,,8,22
1614810713.717675,86,receive,,9,24
1614810714.051049,87,receive,,10,25
1614810714.384789,88,receive,,8,25
1614810714.722075,89,receive,,8,26
1614810715.055718,90,receive,,10,30
1614810715.391189,91,receive,,6,29
1614810715.724635,92,receive,,8,29
1614810716.058075,93,receive,,10,30
1614810716.395285,94,receive,,7,31
1614810716.733053,95,receive,,8,31
1614810717.066806,96,receive,,9,32
1614810717.4003258,97,receive,,11,34
1614810717.73546,98,receive,,7,34
1614810718.072733,99,receive,,10,35
1614810718.409875,100,receive,,6,37
1614810718.744941,101,receive,,9,37
1614810719.078327,102,receive,,10,37
1614810719.415532,103,receive,,7,36
1614810719.750844,104,receive,,11,37
1614810720.087399,105,receive,,11,37
1614810720.4209201,106,receive,,6,36
1614810720.754286,107,receive,,11,35
1614810721.089119,108,receive,,1,36
1614810721.42521,109,receive,,9,38
1614810721.758705,110,receive,,6,38
1614810722.096046,111,receive,,1,38
1614810722.4303539,112,receive,,9,39
1614810722.7661598,113,receive,,1,39
1614810723.0995588,114,receive,,8,39
1614810723.433596,115,receive,,6,39
1614810723.7706082,116,receive,,9,39
1614810724.103939,117,receive,,10,40
1614810724.440748,118,receive,,11,42
1614810724.775745,119,receive,,9,42
1614810725.109115,120,receive,,9,42
1614810725.447007,121,receive,,6,44
1614810725.784072,122,receive,,10,44
1614810726.122447,123,receive,,10,46
1614810726.4558258,124,receive,,11,49
1614810726.792664,125,receive,,8,50
1614810727.130284,126,receive,,6,50
1614810727.4637802,127,receive,,10,53
1614810727.800533,128,receive,,11,52
1614810728.137297,129,receive,,9,53
1614810728.4755032,130,receive,,10,53
1614810728.813071,131,receive,,6,55
1614810729.1488209,132,receive,,9,55
1614810729.482309,133,receive,,10,54
1614810729.818517,134,receive,,10,54
1614810730.156008,135,receive,,9,55
1614810730.491153,136,receive,,1,55
1614810730.824733,137,receive,,8,54
1614810731.158868,138,receive,,10,54
1614810731.492606,139,receive,,6,54
1614810731.829748,140,receive,,8,56
1614810732.163096,141,receive,,7,55
1614810732.4964821,142,receive,,9,55
1614810732.8319502,143,receive,,7,54
1614810733.168697,144,receive,,9,53
1614810733.505364,145,receive,,10,52
1614810733.842402,146,receive,,11,52
1614810734.1800928,147,receive,,9,53
1614810734.513632,148,receive,,11,52
1614810734.852175,149,receive,,10,51
1614810735.188747,150,receive,,8,51
1614810735.5228631,151,receive,,10,52
1614810735.861037,152,receive,,9,52
1614810736.1943989,153,receive,,11,52
1614810736.5290182,154,receive,,8,51
1614810736.863465,155,receive,,7,50
1614810737.197588,156,receive,,11,51
1614810737.535709,157,receive,,8,51
1614810737.871795,158,receive,,10,52
1614810738.205367,159,receive,,8,54
1614810738.542798,160,receive,,7,53
1614810738.8808708,161,receive,,6,53
1614810739.214248,162,receive,,8,54
1614810739.549109,163,receive,,9,54
1614810739.887417,164,receive,,8,53
1614810740.2220328,165,receive,,11,53
1614810740.555373,166,receive,,10,53
1614810740.892053,167,receive,,9,53
1614810741.225421,168,receive,,6,54
1614810741.5628538,169,receive,,11,54
1614810741.897419,170,receive,,10,55
1614810742.231136,171,receive,,10,55
1614810742.565055,172,receive,,7,57
1614810742.898468,173,receive,,6,57
1614810743.23197,174,receive,,1,58
1614810743.570445,175,receive,,8,58
1614810743.907878,176,receive,,6,57
1614810744.241536,177,receive,,7,58
1614810744.577137,178,receive,,9,59
1614810744.91061,179,receive,,8,58
1614810745.243964,180,receive,,7,57
1614810745.577764,181,receive,,8,60
1614810745.9115589,182,receive,,10,59
1614810746.2456992,183,receive,,6,59
1614810746.582599,184,receive,,11,59
1614810746.916267,185,receive,,7,60
1614810747.249559,186,receive,,10,62
1614810747.585278,187,receive,,10,63
1614810747.923108,188,receive,,6,63
1614810748.25992,189,receive,,10,64
1614810748.594718,190,receive,,7,66
