num machines: 3,ticks per second: 6,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614756939.1349518,1,work,,,
1614756939.304609,2,work,,,
1614756939.480254,3,receive,,2,1
1614756939.644932,4,work,,,
1614756939.816881,5,work,,,
1614756939.9880052,6,work,,,
1614756940.209127,7,send,1,,
1614756940.363035,8,send,1,,
1614756940.3970098,8,send,2,,
1614756940.496599,9,work,,,
1614756940.70529,10,send,1,,
1614756940.836687,11,work,,,
1614756941.006927,12,work,,,
1614756941.2017071,13,send,1,,
1614756941.228818,13,send,2,,
1614756941.346805,14,work,,,
1614756941.516802,15,work,,,
1614756941.686851,16,work,,,
1614756941.8540318,17,work,,,
1614756942.0548182,18,send,1,,
1614756942.192689,19,work,,,
1614756942.360876,21,receive,,1,1
1614756942.5535638,22,send,1,,
1614756942.580269,22,send,2,,
1614756942.7333791,23,send,1,,
1614756942.764875,23,send,2,,
1614756942.865948,24,work,,,
1614756943.037659,25,work,,,
1614756943.206272,26,work,,,
1614756943.37618,27,work,,,
1614756943.546787,28,work,,,
1614756943.715602,29,work,,,
1614756943.886806,30,work,,,
1614756944.089151,31,send,1,,
1614756944.269972,32,send,1,,
1614756944.396257,33,work,,,
1614756944.5667782,34,work,,,
1614756944.735631,36,receive,,1,1
1614756944.9063349,37,work,,,
1614756945.116352,38,send,2,,
1614756945.247017,39,receive,,1,1
1614756945.415633,40,work,,,
1614756945.629376,41,send,1,,
1614756945.758163,42,receive,,1,1
1614756945.965609,43,send,1,,
1614756946.096098,44,work,,,
1614756946.2659168,45,work,,,
1614756946.4356759,46,work,,,
1614756946.605991,47,work,,,
1614756946.7756329,48,work,,,
1614756946.9457269,49,work,,,
1614756947.115686,51,receive,,1,1
1614756947.285865,52,work,,,
1614756947.4564779,53,work,,,
1614756947.654094,54,send,1,,
1614756947.796793,55,work,,,
1614756947.9667552,57,receive,,1,1
1614756948.135773,58,work,,,
1614756948.3067698,59,work,,,
1614756948.476683,60,receive,,1,1
1614756948.646105,61,work,,,
1614756948.816604,62,receive,,1,1
1614756948.986794,63,work,,,
1614756949.15681,64,work,,,
1614756949.325786,65,receive,,1,1
1614756949.496997,66,receive,,1,1
1614756949.666945,67,receive,,1,1
1614756949.83682,68,work,,,
1614756950.0065842,69,receive,,1,1
1614756950.221419,70,send,1,,
1614756950.248152,70,send,2,,
1614756950.385227,71,send,1,,
1614756950.563118,72,send,2,,
1614756950.72434,73,send,2,,
1614756950.8843,74,send,1,,
1614756950.9249961,74,send,2,,
1614756951.0267031,75,work,,,
1614756951.196901,76,work,,,
1614756951.4055018,77,send,1,,
1614756951.5728571,78,send,1,,
1614756951.70683,79,work,,,
1614756951.8760698,80,work,,,
1614756952.0456378,81,work,,,
1614756952.21631,82,work,,,
1614756952.417073,83,send,2,,
1614756952.5530539,85,receive,,1,1
1614756952.72387,86,work,,,
1614756952.893279,87,receive,,1,1
1614756953.061213,88,work,,,
1614756953.231723,89,receive,,1,1
1614756953.449909,90,send,2,,
1614756953.573318,91,work,,,
1614756953.772332,92,send,1,,
1614756953.911916,93,work,,,
1614756954.081983,95,receive,,1,1
1614756954.252366,96,work,,,
1614756954.424043,97,work,,,
1614756954.594409,98,receive,,1,1
1614756954.791855,99,send,2,,
1614756954.959451,100,send,1,,
1614756955.101991,101,work,,,
1614756955.29955,102,send,2,,
1614756955.4399202,103,work,,,
1614756955.639137,104,send,2,,
1614756955.817475,105,send,1,,
1614756955.844138,105,send,2,,
1614756955.9468448,106,work,,,
1614756956.1165051,108,receive,,1,1
1614756956.286826,109,work,,,
1614756956.456853,110,work,,,
1614756956.6273658,111,work,,,
1614756956.796797,112,work,,,
1614756956.9659789,113,work,,,
1614756957.136008,114,work,,,
1614756957.30579,115,work,,,
1614756957.476804,116,work,,,
1614756957.678953,117,send,1,,
1614756957.8549602,118,send,1,,
1614756958.019414,119,send,1,,
1614756958.047178,119,send,2,,
1614756958.157697,120,work,,,
1614756958.368431,121,send,1,,
1614756958.496872,122,work,,,
1614756958.696751,123,send,2,,
1614756958.8363771,124,work,,,
1614756959.0061939,125,work,,,
1614756959.207037,126,send,1,,
1614756959.34745,127,work,,,
1614756959.515826,129,receive,,1,1
1614756959.7174358,130,send,1,,
1614756959.746655,130,send,2,,
1614756959.855818,131,work,,,
1614756960.065921,132,send,1,,
1614756960.233697,133,send,1,,
1614756960.3667572,134,work,,,
1614756960.564646,135,send,1,,
1614756960.7068129,136,work,,,
1614756960.8757591,137,work,,,
1614756961.0798562,138,send,1,,
1614756961.116069,138,send,2,,
1614756961.24771,139,send,2,,
1614756961.379898,140,work,,,
1614756961.5516832,142,receive,,1,1
1614756961.7611341,143,send,1,,
1614756961.792284,143,send,2,,
1614756961.9245162,144,send,2,,
1614756962.05917,146,receive,,1,1
1614756962.259525,147,send,2,,
1614756962.399473,148,work,,,
1614756962.6020029,149,send,1,,
1614756962.779744,150,send,1,,
1614756962.906774,151,work,,,
1614756963.076843,152,work,,,
1614756963.277617,153,send,1,,
1614756963.416736,154,work,,,
1614756963.5869381,156,receive,,1,1
1614756963.7558458,157,work,,,
1614756963.925727,158,work,,,
1614756964.095915,159,work,,,
1614756964.265707,160,work,,,
1614756964.436852,161,receive,,1,1
1614756964.608128,162,receive,,1,1
1614756964.814633,163,send,1,,
1614756964.985615,164,send,2,,
1614756965.117377,166,receive,,1,1
1614756965.319624,167,send,2,,
1614756965.4568121,168,work,,,
1614756965.626909,169,work,,,
1614756965.796874,170,work,,,
1614756965.968099,171,work,,,
1614756966.139172,172,work,,,
1614756966.333911,173,send,1,,
1614756966.359895,173,send,2,,
1614756966.476929,174,work,,,
1614756966.645936,175,work,,,
1614756966.815711,176,work,,,
1614756966.985932,178,receive,,1,1
1614756967.156977,179,receive,,1,1
1614756967.3276281,180,work,,,
1614756967.496785,181,work,,,
1614756967.666253,182,work,,,
1614756967.870655,183,send,2,,
1614756968.0069702,184,receive,,1,1
1614756968.176001,185,work,,,
1614756968.38018,186,send,2,,
1614756968.557991,187,send,1,,
1614756968.5878038,187,send,2,,
1614756968.7292218,188,send,1,,
1614756968.882418,189,send,1,,
1614756969.065171,190,send,1,,
1614756969.097416,190,send,2,,
1614756969.196942,191,work,,,
1614756969.366791,192,work,,,
1614756969.53682,193,work,,,
1614756969.7383559,194,send,2,,
1614756969.8768299,195,work,,,
1614756970.0464041,196,work,,,
1614756970.216346,197,receive,,1,1
1614756970.3869069,198,work,,,
1614756970.555777,199,receive,,1,1
1614756970.726631,200,work,,,
