num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614810688.70533,1,send,1,,
1614810688.9102569,2,send,0,,
1614810689.143739,3,send,4,,
1614810689.486212,4,send,5,,
1614810689.6536992,5,send,0,,
1614810689.899114,6,send,1,,
1614810690.1505458,7,send,1,,
1614810690.400227,8,send,0,,
1614810690.651623,9,send,0,,
1614810690.907454,10,send,5,,
1614810691.1488361,11,send,1,,
1614810691.403859,12,send,5,,
1614810691.6651819,13,send,2,,
1614810691.903132,14,send,1,,
1614810692.1537359,15,send,0,,
1614810692.417595,16,send,2,,
1614810692.6560562,17,send,3,,
1614810692.9113002,18,send,5,,
1614810693.159858,19,send,2,,
1614810693.411974,20,send,2,,
1614810693.661364,21,send,3,,
1614810693.9167519,22,send,2,,
1614810694.168972,23,send,2,,
1614810694.419317,24,send,1,,
1614810694.6722088,25,send,1,,
1614810694.927045,26,send,2,,
1614810695.1795762,27,send,2,,
1614810695.4277928,28,send,1,,
1614810695.6809459,29,send,2,,
1614810695.9309099,30,send,5,,
1614810696.17994,31,send,4,,
1614810696.434588,32,send,3,,
1614810696.687924,33,send,1,,
1614810696.9404259,34,send,4,,
1614810697.189384,35,send,3,,
1614810697.44158,36,send,3,,
1614810697.6923661,37,send,3,,
1614810697.940473,38,send,0,,
1614810698.1968331,39,send,3,,
1614810698.44886,40,send,4,,
1614810698.699337,41,send,2,,
1614810698.952828,42,send,3,,
1614810699.20809,43,send,4,,
1614810699.4590552,44,send,2,,
1614810699.707836,45,send,5,,
1614810699.958028,46,send,5,,
1614810700.208767,47,send,3,,
1614810700.4613361,48,send,3,,
1614810700.7077692,49,send,0,,
1614810700.965438,50,send,3,,
1614810701.213185,51,send,0,,
1614810701.471684,52,send,1,,
1614810701.717846,53,send,1,,
1614810701.9732668,54,send,4,,
1614810702.219788,55,send,1,,
1614810702.474127,56,send,4,,
1614810702.724072,57,send,5,,
1614810702.978095,58,send,5,,
1614810703.2320452,59,send,0,,
1614810703.4806101,60,send,2,,
1614810703.72858,61,send,4,,
1614810703.981339,62,send,3,,
1614810704.231842,63,send,1,,
1614810704.485031,64,send,0,,
1614810704.734869,65,send,0,,
1614810704.988422,66,send,3,,
1614810705.237504,67,send,0,,
1614810705.495083,68,send,0,,
1614810705.739696,69,send,3,,
1614810705.9985468,70,send,5,,
1614810706.252634,71,send,4,,
1614810706.503907,72,send,2,,
1614810706.750674,73,send,3,,
1614810707.0021188,74,send,4,,
1614810707.2525141,75,send,1,,
1614810707.504651,76,send,1,,
1614810707.755109,77,send,4,,
1614810708.0182421,78,send,4,,
1614810708.262955,79,send,2,,
1614810708.517877,80,send,0,,
