num machines: 3,ticks per second: 6,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753612.056983,1,send,0,,
1614753612.1636,2,work,,,
1614753612.334056,3,receive,,2,1
1614753612.536543,4,send,2,,
1614753612.675317,5,work,,,
1614753612.846082,7,receive,,2,1
1614753613.0157702,8,work,,,
1614753613.1836412,9,work,,,
1614753613.354862,10,receive,,2,1
1614753613.52476,11,work,,,
1614753613.69368,12,work,,,
1614753613.864814,13,work,,,
1614753614.035182,14,receive,,2,1
1614753614.2061021,15,receive,,2,1
1614753614.374906,16,receive,,2,1
1614753614.544731,17,work,,,
1614753614.749301,18,send,0,,
1614753614.77602,18,send,2,,
1614753614.8833039,19,work,,,
1614753615.053926,20,work,,,
1614753615.262988,21,send,2,,
1614753615.3947651,22,work,,,
1614753615.563597,23,work,,,
1614753615.733845,24,work,,,
1614753615.904809,25,work,,,
1614753616.1050801,26,send,2,,
1614753616.244608,27,work,,,
1614753616.4147499,28,work,,,
1614753616.6207511,29,send,0,,
1614753616.7547488,30,work,,,
1614753616.9249542,32,receive,,2,1
1614753617.095948,33,work,,,
1614753617.264711,34,work,,,
1614753617.4718962,35,send,2,,
1614753617.601598,36,work,,,
1614753617.773223,38,receive,,2,1
1614753617.980368,39,send,2,,
1614753618.113626,40,work,,,
1614753618.285204,41,work,,,
1614753618.454297,42,work,,,
1614753618.666052,43,send,2,,
1614753618.833056,44,send,2,,
1614753618.964739,45,work,,,
1614753619.171606,46,send,0,,
1614753619.3047528,48,receive,,2,1
1614753619.4740238,49,receive,,2,1
1614753619.6751301,50,send,2,,
1614753619.8147469,51,work,,,
1614753619.9841092,52,work,,,
1614753620.155154,53,receive,,0,1
1614753620.326345,54,work,,,
1614753620.497946,55,work,,,
1614753620.668884,56,work,,,
1614753620.840048,58,receive,,2,1
1614753621.010011,59,work,,,
1614753621.1776829,60,receive,,2,1
1614753621.344338,61,work,,,
1614753621.763272,62,send,0,,
1614753621.7913978,62,send,2,,
1614753621.791769,63,work,,,
1614753621.959569,64,work,,,
1614753622.1276538,65,work,,,
1614753622.294559,66,work,,,
1614753622.494478,67,send,2,,
1614753622.635969,68,work,,,
1614753622.8045151,69,work,,,
1614753622.97386,70,work,,,
1614753623.171224,71,send,0,,
1614753623.197928,71,send,2,,
1614753623.356021,72,send,0,,
1614753623.3847558,72,send,2,,
1614753623.4837492,73,work,,,
1614753623.681003,74,send,2,,
1614753623.824736,75,work,,,
1614753623.99392,77,receive,,2,1
1614753624.164578,78,work,,,
1614753624.36494,79,send,0,,
1614753624.5015402,80,work,,,
1614753624.66976,81,receive,,2,1
1614753624.840296,82,work,,,
1614753625.009077,83,work,,,
1614753625.21271,84,send,2,,
1614753625.346706,85,work,,,
1614753625.514008,87,receive,,2,1
1614753625.685358,88,receive,,2,1
1614753625.8535879,89,work,,,
1614753626.024777,90,receive,,2,1
1614753626.1938822,91,receive,,2,1
1614753626.36127,92,work,,,
1614753626.533091,93,work,,,
1614753626.704622,94,work,,,
1614753626.874578,95,work,,,
1614753627.043673,96,receive,,2,1
1614753627.214464,97,work,,,
1614753627.410539,98,send,0,,
1614753627.4378932,98,send,2,,
1614753627.593788,99,send,0,,
1614753627.724722,100,work,,,
1614753627.920506,101,send,2,,
1614753628.107192,102,send,0,,
1614753628.2347388,103,work,,,
1614753628.4044302,105,receive,,2,1
1614753628.5750542,106,receive,,2,1
1614753628.744716,107,receive,,2,1
1614753628.914818,108,receive,,2,1
1614753629.0850801,109,work,,,
1614753629.2546601,110,work,,,
1614753629.4623501,111,send,2,,
1614753629.593568,112,work,,,
1614753629.805347,113,send,0,,
1614753629.831014,113,send,2,,
1614753629.933772,114,work,,,
1614753630.1035929,115,work,,,
1614753630.274653,116,work,,,
1614753630.444575,117,work,,,
1614753630.614686,119,receive,,2,1
1614753630.783555,120,receive,,2,1
1614753630.953621,121,work,,,
1614753631.165514,122,send,0,,
1614753631.191766,122,send,2,,
1614753631.294215,123,work,,,
1614753631.463546,124,work,,,
1614753631.634608,125,work,,,
1614753631.805614,127,receive,,2,1
1614753631.976369,128,work,,,
1614753632.144396,129,receive,,2,1
1614753632.314194,130,receive,,2,1
1614753632.5204759,131,send,0,,
1614753632.6959932,132,send,2,,
1614753632.824807,133,work,,,
1614753632.9937909,135,receive,,2,1
1614753633.16429,136,work,,,
1614753633.334631,137,work,,,
1614753633.533377,138,send,2,,
1614753633.673745,139,work,,,
1614753633.886245,140,send,2,,
1614753634.0146592,141,work,,,
1614753634.184312,142,work,,,
1614753634.353555,143,work,,,
1614753634.5543191,144,send,0,,
1614753634.736476,145,send,0,,
1614753634.763375,145,send,2,,
1614753634.863617,146,work,,,
1614753635.034799,148,receive,,2,1
1614753635.2041972,149,work,,,
1614753635.4064782,150,send,2,,
1614753635.5835981,151,send,2,,
1614753635.7436218,152,send,0,,
