num machines: 3,ticks per second: 3,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614728826.732554,1,send,2,,
1614728827.018804,2,receive,,0,2
1614728827.3528671,3,receive,,2,2
1614728827.69007,5,receive,,0,2
1614728828.0283399,6,receive,,0,2
1614728828.365246,7,receive,,0,2
1614728828.702344,10,receive,,0,2
1614728829.039479,11,receive,,0,3
1614728829.377207,12,receive,,0,2
1614728829.713639,13,receive,,0,1
1614728830.048575,17,receive,,0,1
1614728830.385729,19,receive,,0,2
1614728830.7225878,20,receive,,0,1
1614728831.058618,22,receive,,0,2
1614728831.396791,23,receive,,0,2
1614728831.734816,24,receive,,0,2
1614728832.071959,26,receive,,0,2
1614728832.408549,28,receive,,0,2
1614728832.745591,30,receive,,0,2
1614728833.0797682,31,receive,,0,2
1614728833.413594,32,receive,,0,2
1614728833.750954,34,receive,,0,1
1614728834.085013,37,receive,,0,2
1614728834.4196658,38,receive,,0,1
1614728834.75669,41,receive,,0,1
1614728835.093971,42,receive,,0,2
1614728835.430039,43,receive,,0,2
1614728835.767765,44,receive,,0,2
1614728836.101269,46,receive,,0,3
1614728836.4385989,47,receive,,0,2
1614728836.774712,48,receive,,0,1
1614728837.112553,49,work,,,
1614728837.471238,50,send,0,,
1614728837.785044,55,receive,,0,1
1614728838.140934,56,send,0,,
1614728838.4896379,57,send,0,,
1614728838.788625,60,receive,,0,1
1614728839.124734,62,receive,,0,2
1614728839.4623628,63,receive,,0,2
1614728839.798775,64,receive,,0,1
1614728840.13412,67,receive,,0,1
1614728840.4991648,68,send,0,,
1614728840.525279,68,send,2,,
1614728840.808148,71,receive,,0,1
1614728841.164871,72,send,0,,
1614728841.502304,73,send,2,,
1614728841.8163981,76,receive,,0,1
1614728842.178711,77,send,0,,
1614728842.508668,78,send,0,,
1614728842.820965,81,receive,,0,1
1614728843.158576,82,work,,,
1614728843.495955,83,work,,,
1614728843.832629,85,receive,,0,1
1614728844.194554,86,send,0,,
1614728844.504411,88,receive,,0,1
1614728844.8403919,91,receive,,0,1
1614728845.210593,92,send,2,,
1614728845.515237,93,receive,,0,1
1614728845.874654,94,send,0,,
1614728846.188684,95,work,,,
1614728846.524897,98,receive,,0,2
1614728846.860756,99,receive,,0,3
1614728847.1986449,100,receive,,0,3
1614728847.536612,101,receive,,0,3
1614728847.874892,102,receive,,0,3
1614728848.212658,104,receive,,0,3
1614728848.548658,106,receive,,0,2
1614728848.8844118,107,receive,,0,2
1614728849.219907,111,receive,,0,1
1614728849.581353,112,send,0,,
1614728849.914761,113,send,0,,
1614728850.249294,114,send,2,,
1614728850.594712,115,send,0,,
1614728850.901183,116,work,,,
1614728851.2350578,121,receive,,0,1
1614728851.572703,123,receive,,0,2
1614728851.9110231,124,receive,,0,1
1614728852.245557,127,receive,,0,1
1614728852.582152,128,receive,,0,1
1614728852.944958,129,send,0,,
1614728853.2795808,130,send,2,,
1614728853.592735,133,receive,,0,2
1614728853.930037,134,receive,,0,1
1614728854.265517,136,receive,,0,1
1614728854.59879,138,receive,,0,2
1614728854.93426,139,receive,,0,2
1614728855.270921,140,receive,,0,2
1614728855.605679,141,receive,,0,2
1614728855.942258,143,receive,,0,1
1614728856.2800481,146,receive,,0,2
1614728856.613493,147,receive,,0,1
1614728856.949874,150,receive,,0,1
1614728857.3257039,151,send,0,,
1614728857.655243,152,send,2,,
1614728857.958685,154,receive,,0,2
1614728858.295518,155,receive,,0,2
1614728858.631346,156,receive,,0,2
1614728858.967956,159,receive,,0,1
1614728859.304405,161,receive,,0,2
1614728859.640428,162,receive,,0,2
1614728859.9787788,163,receive,,0,2
1614728860.313463,164,receive,,0,2
1614728860.649484,167,receive,,0,2
1614728860.986963,168,receive,,0,2
1614728861.325144,170,receive,,0,2
1614728861.6607401,172,receive,,0,1
1614728861.996829,175,receive,,0,1
1614728862.353132,176,send,0,,
1614728862.3753338,176,send,2,,
1614728862.6702762,177,work,,,
1614728863.028404,178,send,2,,
1614728863.370124,179,send,0,,
1614728863.712948,180,send,0,,
1614728863.746293,180,send,2,,
1614728864.019812,184,receive,,0,1
1614728864.353339,187,receive,,0,1
1614728864.6904309,188,receive,,0,1
1614728865.0277529,189,receive,,0,2
1614728865.363147,190,receive,,0,3
1614728865.698714,191,receive,,0,3
1614728866.0331311,192,receive,,0,4
1614728866.366539,193,receive,,0,4
1614728866.704285,194,receive,,0,3
1614728867.042237,195,receive,,0,3
1614728867.380258,196,receive,,0,4
1614728867.7137458,200,receive,,0,3
1614728868.049081,201,receive,,0,3
1614728868.3854442,202,receive,,0,3
1614728868.722517,205,receive,,0,3
1614728869.0597289,207,receive,,0,4
1614728869.395581,208,receive,,0,3
1614728869.73317,209,receive,,0,3
1614728870.071388,210,receive,,0,3
1614728870.404832,213,receive,,0,3
1614728870.740729,214,receive,,0,2
1614728871.078756,216,receive,,0,1
1614728871.416001,221,receive,,0,1
1614728871.7541142,223,receive,,0,1
1614728872.090234,224,receive,,0,2
1614728872.426743,225,receive,,0,1
1614728872.786664,226,send,2,,
1614728873.100537,229,receive,,0,1
1614728873.464648,230,send,0,,
1614728873.799644,231,send,2,,
1614728874.1282,232,send,0,,
1614728874.144709,232,send,2,,
