num machines: 3,ticks per second: 2,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753288.58765,1,work,,,
1614753289.135925,2,send,2,,
1614753289.594809,3,work,,,
1614753290.136023,4,send,2,,
1614753290.597326,5,work,,,
1614753291.099688,6,work,,,
1614753291.602242,7,work,,,
1614753292.106091,8,receive,,1,2
1614753292.611153,9,receive,,2,1
1614753293.115783,10,work,,,
1614753293.616959,11,work,,,
1614753294.1632571,12,send,2,,
1614753294.627059,13,work,,,
1614753295.172405,14,send,1,,
1614753295.635751,15,work,,,
1614753296.139615,16,work,,,
1614753296.6438148,17,receive,,2,1
1614753297.148179,18,work,,,
1614753297.696867,19,send,1,,
1614753298.155319,20,work,,,
1614753298.659513,21,work,,,
1614753299.161952,22,work,,,
1614753299.662705,23,work,,,
1614753300.2023628,24,send,2,,
1614753300.666073,25,work,,,
1614753301.2087638,26,send,1,,
1614753301.701416,27,send,1,,
1614753302.217673,28,send,1,,
1614753302.675927,29,receive,,2,1
1614753303.1777668,30,work,,,
1614753303.681932,31,receive,,2,1
1614753304.2238889,32,send,1,,
1614753304.687053,33,work,,,
1614753305.191372,34,receive,,2,1
1614753305.6956532,35,work,,,
1614753306.196079,36,receive,,2,1
1614753306.699834,37,work,,,
1614753307.20223,38,receive,,2,1
1614753307.74126,39,send,1,,
1614753308.208533,40,receive,,2,1
1614753308.711145,41,work,,,
1614753309.21579,42,work,,,
1614753309.720913,43,work,,,
1614753310.224994,44,work,,,
1614753310.72869,45,receive,,1,1
1614753311.232832,46,work,,,
1614753311.735724,47,work,,,
1614753312.240809,48,work,,,
1614753312.7448251,49,receive,,2,1
1614753313.248377,50,work,,,
1614753313.752769,51,work,,,
1614753314.2559302,52,receive,,2,1
1614753314.761101,53,receive,,2,1
1614753315.265158,54,work,,,
1614753315.766996,55,receive,,1,1
1614753316.270137,56,work,,,
1614753316.799092,57,send,1,,
1614753317.275687,58,work,,,
1614753317.7793732,59,work,,,
1614753318.319128,60,send,2,,
1614753318.824131,61,send,1,,
1614753318.853704,61,send,2,,
1614753319.287241,62,work,,,
1614753319.8220868,63,send,2,,
1614753320.292342,64,work,,,
1614753320.794595,65,work,,,
1614753321.2964962,66,work,,,
1614753321.7999392,67,work,,,
1614753322.3035169,68,work,,,
1614753322.805592,69,work,,,
1614753323.3103201,70,work,,,
1614753323.813848,71,work,,,
1614753324.31778,72,work,,,
1614753324.821271,73,work,,,
1614753325.325472,74,receive,,2,1
1614753325.829759,75,work,,,
1614753326.334271,76,work,,,
1614753326.8382359,77,receive,,2,1
1614753327.3791392,78,send,1,,
1614753327.8457139,79,work,,,
1614753328.350383,80,work,,,
1614753328.8545659,81,receive,,1,1
1614753329.358361,82,work,,,
1614753329.861742,83,work,,,
1614753330.4033349,84,send,1,,
1614753330.4312398,84,send,2,,
1614753330.870444,85,work,,,
1614753331.37449,86,work,,,
1614753331.875756,87,receive,,1,1
1614753332.380269,88,work,,,
1614753332.9184608,89,send,2,,
1614753333.38185,90,work,,,
1614753333.885622,91,work,,,
1614753334.432277,92,send,2,,
1614753334.9346461,93,send,1,,
1614753334.96469,93,send,2,,
1614753335.397342,94,work,,,
1614753335.901105,95,work,,,
1614753336.4016562,96,work,,,
1614753336.905685,97,work,,,
1614753337.448454,98,send,1,,
1614753337.908983,99,receive,,2,1
1614753338.41286,100,receive,,2,1
1614753338.91567,101,work,,,
1614753339.4615629,102,send,1,,
1614753339.9245892,103,work,,,
1614753340.428277,104,work,,,
1614753340.932873,105,receive,,2,1
1614753341.4356291,106,work,,,
1614753341.9403121,107,work,,,
1614753342.4431,108,receive,,2,1
1614753342.9459121,109,work,,,
1614753343.4894762,110,send,1,,
1614753343.517021,110,send,2,,
1614753343.9955142,111,send,1,,
1614753344.0252218,111,send,2,,
1614753344.455625,112,work,,,
1614753344.956162,113,work,,,
1614753345.499995,114,send,1,,
1614753345.961907,115,work,,,
1614753346.462018,116,work,,,
1614753346.965464,117,work,,,
1614753347.469249,118,receive,,2,1
1614753347.971873,119,work,,,
1614753348.4747899,120,receive,,2,1
