num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614809625.6348631,1,work,,,
1614809625.888336,2,work,,,
1614809626.138349,3,work,,,
1614809626.389772,4,work,,,
1614809626.642035,5,work,,,
1614809626.8937862,6,work,,,
1614809627.147541,7,work,,,
1614809627.421878,8,send,0,,
1614809627.438653,8,send,1,,
1614809627.651586,9,work,,,
1614809627.90535,10,work,,,
1614809628.155595,11,work,,,
1614809628.407511,12,work,,,
1614809628.6600692,13,work,,,
1614809628.9140139,14,work,,,
1614809629.1668491,15,work,,,
1614809629.417036,16,work,,,
1614809629.6717818,17,work,,,
1614809629.925259,18,work,,,
1614809630.177401,19,work,,,
1614809630.430847,20,work,,,
1614809630.685045,21,work,,,
1614809630.938601,22,work,,,
1614809631.191923,23,work,,,
1614809631.441979,24,work,,,
1614809631.695532,25,work,,,
1614809631.94738,26,work,,,
1614809632.2230442,27,send,0,,
1614809632.473089,28,send,0,,
1614809632.4899,28,send,1,,
1614809632.7021298,29,work,,,
1614809632.9532108,30,work,,,
1614809633.206134,31,work,,,
1614809633.470567,32,send,0,,
1614809633.726775,33,send,0,,
1614809633.7446232,33,send,1,,
1614809633.958122,34,work,,,
1614809634.2081869,35,work,,,
1614809634.461963,36,work,,,
1614809634.714232,37,work,,,
1614809634.967284,38,work,,,
1614809635.21735,39,work,,,
1614809635.4719858,40,work,,,
1614809635.722008,41,work,,,
1614809635.975013,42,work,,,
1614809636.229743,43,work,,,
1614809636.483874,44,work,,,
1614809636.737571,45,work,,,
1614809636.990043,46,work,,,
1614809637.240139,47,work,,,
1614809637.4939442,48,work,,,
1614809637.746964,49,work,,,
1614809637.99783,50,work,,,
1614809638.248502,51,work,,,
1614809638.499152,52,work,,,
1614809638.749441,53,work,,,
1614809638.999522,54,work,,,
1614809639.2496588,55,work,,,
1614809639.503398,56,work,,,
1614809639.757013,57,work,,,
1614809640.009805,58,work,,,
1614809640.2641542,59,work,,,
1614809640.514188,60,work,,,
1614809640.7821782,61,send,0,,
1614809640.797067,61,send,1,,
1614809641.016232,62,work,,,
1614809641.2679732,63,work,,,
1614809641.5184,64,work,,,
1614809641.7840629,65,send,0,,
1614809642.02025,66,work,,,
1614809642.274233,67,work,,,
1614809642.5255628,68,work,,,
1614809642.776143,69,work,,,
1614809643.0261629,70,work,,,
1614809643.2899609,71,send,0,,
1614809643.304262,71,send,1,,
1614809643.527134,72,work,,,
1614809643.7771149,73,work,,,
1614809644.028376,74,work,,,
1614809644.281504,75,work,,,
1614809644.531562,76,work,,,
1614809644.783048,77,work,,,
1614809645.036944,78,work,,,
1614809645.2869802,79,work,,,
1614809645.53707,80,work,,,
1614809645.788769,81,work,,,
1614809646.042621,82,work,,,
1614809646.294946,83,work,,,
1614809646.548707,84,work,,,
1614809646.800307,85,work,,,
1614809647.0540822,86,work,,,
1614809647.305738,87,work,,,
1614809647.556865,88,work,,,
1614809647.807874,89,work,,,
1614809648.057908,90,work,,,
1614809648.308931,91,work,,,
1614809648.580491,92,send,0,,
1614809648.597877,92,send,1,,
1614809648.814263,93,work,,,
1614809649.0643232,94,work,,,
1614809649.3167412,95,work,,,
1614809649.567011,96,work,,,
1614809649.817077,97,work,,,
1614809650.070286,98,work,,,
1614809650.338795,99,send,0,,
1614809650.573637,100,work,,,
1614809650.827473,101,work,,,
1614809651.0973928,102,send,0,,
1614809651.332312,103,work,,,
1614809651.582348,104,work,,,
1614809651.8336818,105,work,,,
1614809652.083712,106,work,,,
1614809652.335735,107,work,,,
1614809652.585801,108,work,,,
1614809652.835819,109,work,,,
1614809653.088801,110,work,,,
1614809653.338822,111,work,,,
1614809653.6109262,112,send,1,,
1614809653.842033,113,work,,,
1614809654.093108,114,work,,,
1614809654.347645,115,work,,,
1614809654.5976698,116,work,,,
1614809654.847709,117,work,,,
1614809655.101102,118,work,,,
1614809655.368057,119,send,1,,
1614809655.603295,120,work,,,
1614809655.857352,121,work,,,
1614809656.129372,122,send,0,,
1614809656.374517,123,send,0,,
1614809656.609695,124,work,,,
1614809656.860597,125,work,,,
1614809657.114181,126,work,,,
1614809657.3657758,127,work,,,
1614809657.6158552,128,work,,,
1614809657.86588,129,work,,,
1614809658.119082,130,work,,,
1614809658.38955,131,send,1,,
1614809658.622299,132,work,,,
1614809658.87234,133,work,,,
1614809659.140008,134,send,0,,
1614809659.3780239,135,work,,,
1614809659.6280901,136,work,,,
1614809659.880809,137,work,,,
1614809660.131016,138,work,,,
1614809660.381346,139,work,,,
1614809660.635408,140,work,,,
1614809660.889011,141,work,,,
1614809661.13981,142,work,,,
1614809661.390194,143,work,,,
1614809661.64347,144,work,,,
1614809661.8935099,145,work,,,
1614809662.160287,146,send,1,,
1614809662.3979242,147,work,,,
1614809662.649377,148,work,,,
1614809662.900058,149,work,,,
1614809663.1516118,150,work,,,
1614809663.401672,151,work,,,
1614809663.6529899,152,work,,,
1614809663.906972,153,work,,,
1614809664.1569831,154,work,,,
1614809664.408797,155,work,,,
1614809664.658876,156,work,,,
1614809664.912481,157,work,,,
1614809665.165399,158,work,,,
1614809665.418061,159,work,,,
1614809665.672338,160,work,,,
1614809665.9248881,161,work,,,
1614809666.192527,162,send,1,,
1614809666.4311879,163,work,,,
1614809666.684733,164,work,,,
1614809666.938642,165,work,,,
1614809667.1886349,166,work,,,
1614809667.4632719,167,send,0,,
1614809667.477785,167,send,1,,
1614809667.693085,168,work,,,
1614809667.9448361,169,work,,,
1614809668.1979609,170,work,,,
1614809668.448916,171,work,,,
1614809668.716067,172,send,1,,
1614809668.9526951,173,work,,,
1614809669.206635,174,work,,,
1614809669.45718,175,work,,,
1614809669.7087328,176,work,,,
1614809669.959115,177,work,,,
1614809670.209152,178,work,,,
1614809670.4591649,179,work,,,
1614809670.71045,180,work,,,
1614809670.978772,181,send,1,,
1614809671.216759,182,work,,,
1614809671.469076,183,work,,,
1614809671.720588,184,work,,,
1614809671.972447,185,work,,,
1614809672.222815,186,work,,,
1614809672.473867,187,work,,,
1614809672.725655,188,work,,,
1614809672.9791071,189,work,,,
1614809673.231325,190,work,,,
1614809673.495708,191,send,0,,
1614809673.5101938,191,send,1,,
1614809673.7314718,192,work,,,
1614809673.982147,193,work,,,
1614809674.2321222,194,work,,,
1614809674.4984162,195,send,0,,
1614809674.7322729,196,work,,,
1614809674.982396,197,work,,,
1614809675.232524,198,work,,,
1614809675.482597,199,work,,,
1614809675.767732,200,send,1,,
1614809675.986569,201,work,,,
1614809676.236587,202,work,,,
1614809676.488113,203,work,,,
1614809676.740282,204,work,,,
1614809676.991188,205,work,,,
1614809677.242379,206,work,,,
1614809677.513304,207,send,0,,
1614809677.529061,207,send,1,,
1614809677.748071,208,work,,,
1614809678.0171452,209,send,1,,
1614809678.255957,210,work,,,
1614809678.509405,211,work,,,
1614809678.778552,212,send,0,,
1614809678.794854,212,send,1,,
1614809679.0148659,213,work,,,
1614809679.265125,214,work,,,
1614809679.537739,215,send,1,,
1614809679.765677,216,work,,,
1614809680.0344708,217,send,0,,
1614809680.052871,217,send,1,,
1614809680.287383,218,send,0,,
1614809680.517469,219,work,,,
1614809680.790884,220,send,1,,
1614809681.0226219,221,work,,,
1614809681.274719,222,work,,,
1614809681.526973,223,work,,,
1614809681.7814689,224,work,,,
1614809682.0507982,225,send,0,,
1614809682.281802,226,work,,,
1614809682.531838,227,work,,,
1614809682.7818828,228,work,,,
1614809683.033608,229,work,,,
1614809683.3086169,230,send,0,,
1614809683.5393212,231,work,,,
1614809683.809312,232,send,0,,
1614809683.826012,232,send,1,,
1614809684.042212,233,work,,,
1614809684.2927911,234,work,,,
1614809684.543329,235,work,,,
1614809684.79387,236,work,,,
1614809685.0439942,237,work,,,
1614809685.314909,238,send,0,,
1614809685.550005,239,work,,,
1614809685.8042,240,work,,,
