num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614810688.729502,1,send,3,,
1614810688.9170198,2,receive,,0,2
1614810689.167327,3,receive,,4,5
1614810689.4173708,4,receive,,3,4
1614810689.667417,5,receive,,6,7
1614810689.921087,6,receive,,8,7
1614810690.174732,7,receive,,7,7
1614810690.425323,8,receive,,8,9
1614810690.677949,9,receive,,7,8
1614810690.931985,10,receive,,9,10
1614810691.182366,11,receive,,6,12
1614810691.432459,12,receive,,7,13
1614810691.6834838,13,receive,,11,15
1614810691.933547,14,receive,,11,15
1614810692.183605,15,receive,,7,15
1614810692.437269,16,receive,,8,15
1614810692.688402,17,receive,,10,15
1614810692.938567,18,receive,,11,16
1614810693.189075,19,receive,,9,15
1614810693.443285,20,receive,,10,16
1614810693.697254,21,receive,,8,16
1614810693.9479392,22,receive,,7,17
1614810694.201466,23,receive,,9,18
1614810694.4515781,24,receive,,7,17
1614810694.701779,25,receive,,6,16
1614810694.956193,26,receive,,4,15
1614810695.206211,27,receive,,8,15
1614810695.4599721,28,receive,,10,15
1614810695.71396,29,receive,,6,14
1614810695.9665082,30,receive,,11,14
1614810696.218806,31,receive,,8,15
1614810696.4696288,32,receive,,7,15
1614810696.7219431,33,receive,,9,16
1614810696.9720142,34,receive,,6,18
1614810697.2246232,35,receive,,10,17
1614810697.47552,36,receive,,11,17
1614810697.725895,37,receive,,10,16
1614810697.9781508,38,receive,,11,17
1614810698.231969,39,receive,,11,18
1614810698.482006,40,receive,,7,18
1614810698.736106,41,receive,,8,19
1614810698.990819,42,receive,,8,18
1614810699.2409868,43,receive,,9,17
1614810699.4911911,44,receive,,11,17
1614810699.741395,45,receive,,7,17
1614810699.9919128,46,receive,,10,18
1614810700.242045,47,receive,,10,18
1614810700.4921238,48,receive,,8,18
1614810700.7446961,49,receive,,6,17
1614810700.994845,50,receive,,11,18
1614810701.248738,51,receive,,8,18
1614810701.49901,52,receive,,6,18
1614810701.749064,53,receive,,10,18
1614810701.9992561,54,receive,,8,18
1614810702.249322,55,receive,,10,17
1614810702.502162,56,receive,,11,18
1614810702.7523708,57,receive,,11,18
1614810703.003386,58,receive,,6,19
1614810703.25521,59,receive,,7,21
1614810703.5052412,60,receive,,7,21
1614810703.756135,61,receive,,9,20
1614810704.009553,62,receive,,7,19
1614810704.259569,63,receive,,9,19
1614810704.509751,64,receive,,11,18
1614810704.761989,65,receive,,6,18
1614810705.0119748,66,receive,,7,18
1614810705.2621288,67,receive,,11,17
1614810705.51579,68,receive,,10,16
1614810705.769454,69,receive,,7,15
1614810706.019742,70,receive,,8,15
1614810706.2734878,71,receive,,8,14
1614810706.524071,72,receive,,6,14
1614810706.7769651,73,receive,,7,14
1614810707.030454,74,receive,,9,15
1614810707.282432,75,receive,,8,14
1614810707.5357282,76,receive,,9,13
1614810707.786056,77,receive,,8,13
1614810708.038791,78,receive,,7,12
1614810708.289199,79,receive,,11,12
1614810708.5417368,80,receive,,7,12
1614810708.792108,81,receive,,8,12
1614810709.0420852,82,receive,,6,11
1614810709.292244,83,receive,,8,11
1614810709.542356,84,receive,,9,12
1614810709.792824,85,receive,,10,12
1614810710.045422,86,receive,,6,13
1614810710.296983,87,receive,,6,13
1614810710.5475461,88,receive,,10,12
1614810710.800672,89,receive,,6,13
1614810711.050868,90,receive,,11,13
1614810711.30176,91,receive,,10,12
1614810711.555585,92,receive,,6,11
1614810711.8073752,93,receive,,6,11
1614810712.0609212,94,receive,,8,11
1614810712.314403,95,receive,,7,10
1614810712.564619,96,receive,,9,11
1614810712.814629,97,receive,,11,11
1614810713.0656252,98,receive,,10,10
1614810713.3192399,99,receive,,8,9
1614810713.573427,100,receive,,7,9
1614810713.823638,101,receive,,10,8
1614810714.075809,102,receive,,7,10
1614810714.326119,103,receive,,8,12
1614810714.578401,104,receive,,7,12
1614810714.82894,105,receive,,9,14
1614810715.079118,106,receive,,10,13
1614810715.3293061,107,receive,,10,14
1614810715.582117,108,receive,,7,13
1614810715.836869,109,receive,,11,12
1614810716.086963,110,receive,,7,13
1614810716.341377,111,receive,,9,13
1614810716.591392,112,receive,,6,14
1614810716.841481,113,receive,,10,14
1614810717.09581,114,receive,,1,14
1614810717.345831,115,receive,,10,14
1614810717.59635,116,receive,,7,15
1614810717.850008,117,receive,,11,16
1614810718.1031349,118,receive,,10,16
1614810718.353249,119,receive,,7,16
1614810718.603372,120,receive,,11,17
1614810718.853536,121,receive,,4,19
1614810719.10769,122,receive,,10,19
1614810719.3603148,123,receive,,7,20
1614810719.6137931,124,receive,,11,19
1614810719.8652658,125,receive,,7,20
1614810720.118695,126,receive,,11,22
1614810720.372492,127,receive,,6,22
1614810720.6236742,128,receive,,7,22
1614810720.876138,129,receive,,7,21
1614810721.127706,130,receive,,8,21
1614810721.3779461,131,receive,,10,20
1614810721.627991,132,receive,,1,20
1614810721.878124,133,receive,,7,20
1614810722.128363,134,receive,,11,20
1614810722.3793511,135,receive,,10,19
1614810722.630178,136,receive,,1,19
1614810722.880542,137,receive,,8,19
1614810723.130717,138,receive,,7,18
1614810723.380738,139,receive,,10,18
1614810723.630822,140,receive,,6,18
1614810723.883405,141,receive,,6,17
1614810724.136318,142,receive,,11,18
1614810724.3899672,143,receive,,10,17
