num machines: 3,ticks per second: 6,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614756939.176818,1,work,,,
1614756939.345815,2,work,,,
1614756939.517649,3,receive,,2,1
1614756939.686037,4,work,,,
1614756939.8570051,5,work,,,
1614756940.087544,6,send,2,,
1614756940.224877,7,send,2,,
1614756940.365678,8,receive,,0,2
1614756940.535771,9,receive,,0,1
1614756940.705693,11,receive,,0,1
1614756940.875668,12,work,,,
1614756941.0466619,13,work,,,
1614756941.2156549,14,receive,,0,1
1614756941.386801,15,work,,,
1614756941.556812,16,work,,,
1614756941.7240589,17,work,,,
1614756941.892166,18,work,,,
1614756942.06168,19,receive,,0,1
1614756942.269303,20,send,0,,
1614756942.301996,20,send,2,,
1614756942.4014232,21,work,,,
1614756942.5716941,23,receive,,0,1
1614756942.739912,24,receive,,0,1
1614756942.906959,25,work,,,
1614756943.078072,26,work,,,
1614756943.290858,27,send,2,,
1614756943.4157581,28,work,,,
1614756943.622109,29,send,2,,
1614756943.756723,30,work,,,
1614756943.926809,31,work,,,
1614756944.0957289,32,receive,,0,1
1614756944.2656882,33,work,,,
1614756944.436948,34,receive,,0,1
1614756944.6424801,35,send,0,,
1614756944.779901,36,work,,,
1614756944.946625,37,work,,,
1614756945.1424892,38,send,0,,
1614756945.2861671,39,work,,,
1614756945.456339,40,work,,,
1614756945.657957,41,send,0,,
1614756945.6862478,41,send,2,,
1614756945.796659,42,receive,,0,1
1614756945.965657,44,receive,,0,1
1614756946.135676,45,work,,,
1614756946.306763,46,work,,,
1614756946.475837,47,work,,,
1614756946.6466181,48,work,,,
1614756946.817292,49,work,,,
1614756947.019287,50,send,0,,
1614756947.046967,50,send,2,,
1614756947.185227,51,send,2,,
1614756947.3259141,52,work,,,
1614756947.496744,53,work,,,
1614756947.665678,55,receive,,0,1
1614756947.867407,56,send,0,,
1614756948.006793,57,work,,,
1614756948.214117,58,send,2,,
1614756948.3790798,59,send,0,,
1614756948.40935,59,send,2,,
1614756948.512856,60,work,,,
1614756948.72546,61,send,0,,
1614756948.752071,61,send,2,,
1614756948.85215,62,work,,,
1614756949.023923,63,work,,,
1614756949.237201,64,send,0,,
1614756949.3992581,65,send,0,,
1614756949.435027,65,send,2,,
1614756949.560451,66,send,0,,
1614756949.6967921,67,work,,,
1614756949.910749,68,send,0,,
1614756949.93835,68,send,2,,
1614756950.0367239,69,work,,,
1614756950.2061162,70,work,,,
1614756950.3771808,71,receive,,0,1
1614756950.5463412,72,receive,,0,1
1614756950.715714,73,work,,,
1614756950.885706,75,receive,,0,1
1614756951.056593,76,work,,,
1614756951.257405,77,send,2,,
1614756951.395591,78,work,,,
1614756951.5657558,79,receive,,0,1
1614756951.736897,80,receive,,0,1
1614756951.9065652,81,work,,,
1614756952.076759,82,work,,,
1614756952.2462988,83,work,,,
1614756952.450231,84,send,0,,
1614756952.5858681,85,work,,,
1614756952.802316,86,send,0,,
1614756952.827958,86,send,2,,
1614756952.927567,87,work,,,
1614756953.1317818,88,send,0,,
1614756953.158747,88,send,2,,
1614756953.266471,89,work,,,
1614756953.436241,90,work,,,
1614756953.6063628,91,work,,,
1614756953.77586,93,receive,,0,1
1614756953.9889438,94,send,0,,
1614756954.116937,95,work,,,
1614756954.2856681,96,work,,,
1614756954.500038,97,send,0,,
1614756954.534687,97,send,2,,
1614756954.625927,98,work,,,
1614756954.795747,99,work,,,
1614756954.9659882,101,receive,,0,1
1614756955.1364381,102,work,,,
1614756955.332976,103,send,2,,
1614756955.476237,104,work,,,
1614756955.6465201,105,work,,,
1614756955.8171468,106,receive,,0,1
1614756956.029153,107,send,0,,
1614756956.156845,108,work,,,
1614756956.326825,109,work,,,
