num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614809625.631071,1,work,,,
1614809625.880996,2,work,,,
1614809626.1355462,3,work,,,
1614809626.388824,5,receive,,0,1
1614809626.642005,6,work,,,
1614809626.893782,7,work,,,
1614809627.1793869,8,send,1,,
1614809627.401603,9,receive,,1,1
1614809627.668761,10,send,0,,
1614809627.684124,10,send,1,,
1614809627.905354,11,work,,,
1614809628.1556349,12,work,,,
1614809628.4075048,13,work,,,
1614809628.66007,14,work,,,
1614809628.91401,15,work,,,
1614809629.196071,16,send,0,,
1614809629.4185548,17,receive,,1,1
1614809629.671791,18,work,,,
1614809629.925259,19,work,,,
1614809630.177403,20,work,,,
1614809630.430841,21,work,,,
1614809630.685091,22,work,,,
1614809630.938606,23,work,,,
1614809631.191925,24,work,,,
1614809631.441977,25,work,,,
1614809631.714577,26,send,0,,
1614809631.7324631,26,send,1,,
1614809631.947376,27,work,,,
1614809632.20012,28,work,,,
1614809632.473908,29,send,0,,
1614809632.702168,30,work,,,
1614809632.953203,31,work,,,
1614809633.206133,32,work,,,
1614809633.4562051,33,work,,,
1614809633.708087,34,work,,,
1614809633.958124,35,work,,,
1614809634.208189,36,work,,,
1614809634.461961,37,work,,,
1614809634.730052,38,send,0,,
1614809634.7448058,38,send,1,,
1614809634.967259,39,work,,,
1614809635.217309,40,work,,,
1614809635.4719832,41,work,,,
1614809635.722008,42,work,,,
1614809635.994845,43,send,1,,
1614809636.229735,44,work,,,
1614809636.483872,45,work,,,
1614809636.755898,46,send,0,,
1614809636.7705972,46,send,1,,
1614809636.990043,47,work,,,
1614809637.2401412,48,work,,,
1614809637.4939451,49,work,,,
1614809637.7470279,50,work,,,
1614809637.9978292,51,work,,,
1614809638.2484999,52,work,,,
1614809638.518394,53,send,0,,
1614809638.533587,53,send,1,,
1614809638.749438,54,work,,,
1614809639.015954,55,send,1,,
1614809639.24966,56,work,,,
1614809639.503403,57,work,,,
1614809639.757013,58,work,,,
1614809640.009802,59,work,,,
1614809640.264161,60,work,,,
1614809640.514217,61,work,,,
1614809640.764255,62,work,,,
1614809641.0162308,63,work,,,
1614809641.267972,64,work,,,
1614809641.518412,65,work,,,
1614809641.768501,66,work,,,
1614809642.020272,67,work,,,
1614809642.274229,68,work,,,
1614809642.525553,69,work,,,
1614809642.776136,70,work,,,
1614809643.0261571,71,work,,,
1614809643.27631,72,work,,,
1614809643.526458,73,work,,,
1614809643.776453,74,work,,,
1614809644.02837,75,work,,,
1614809644.281497,76,work,,,
1614809644.5315561,77,work,,,
1614809644.7830532,78,work,,,
1614809645.0369458,79,work,,,
1614809645.2869818,80,work,,,
1614809645.537062,81,work,,,
1614809645.788769,82,work,,,
1614809646.042618,83,work,,,
1614809646.31042,84,send,0,,
1614809646.325859,84,send,1,,
1614809646.548703,85,work,,,
1614809646.8002958,86,work,,,
1614809647.054079,87,work,,,
1614809647.305696,88,work,,,
1614809647.5568619,89,work,,,
1614809647.822676,90,send,0,,
1614809648.057909,91,work,,,
1614809648.308928,92,work,,,
1614809648.561986,93,work,,,
1614809648.814262,94,work,,,
1614809649.0812988,95,send,1,,
1614809649.316743,96,work,,,
1614809649.567011,97,work,,,
1614809649.817078,98,work,,,
1614809650.070272,99,work,,,
1614809650.323401,100,work,,,
1614809650.573633,101,work,,,
1614809650.827468,102,work,,,
1614809651.077491,103,work,,,
1614809651.332313,104,work,,,
1614809651.6006348,105,send,0,,
1614809651.8336818,106,work,,,
1614809652.083711,107,work,,,
1614809652.335735,108,work,,,
1614809652.58576,109,work,,,
1614809652.8526778,110,send,0,,
1614809653.0887969,111,work,,,
1614809653.33882,112,work,,,
1614809653.58925,113,work,,,
1614809653.842027,114,work,,,
1614809654.093112,115,work,,,
1614809654.3476439,116,work,,,
1614809654.597673,117,work,,,
1614809654.847709,118,work,,,
1614809655.101102,119,work,,,
1614809655.353268,120,work,,,
1614809655.603293,121,work,,,
1614809655.8573499,122,work,,,
1614809656.128234,123,send,0,,
1614809656.145122,123,send,1,,
1614809656.357418,124,work,,,
1614809656.627605,125,send,0,,
1614809656.643374,125,send,1,,
1614809656.860595,126,work,,,
1614809657.114197,127,work,,,
1614809657.38206,128,send,1,,
1614809657.634017,129,send,0,,
1614809657.6495318,129,send,1,,
1614809657.8658829,130,work,,,
1614809658.119066,131,work,,,
1614809658.371136,132,work,,,
1614809658.622299,133,work,,,
1614809658.87234,134,work,,,
1614809659.1232839,135,work,,,
1614809659.37803,136,work,,,
1614809659.6280901,137,work,,,
1614809659.880801,138,work,,,
1614809660.15279,139,send,0,,
1614809660.173121,139,send,1,,
1614809660.381342,140,work,,,
1614809660.656328,141,send,0,,
1614809660.889013,142,work,,,
1614809661.1398132,143,work,,,
1614809661.390194,144,work,,,
1614809661.643472,145,work,,,
1614809661.8935091,146,work,,,
1614809662.144323,147,work,,,
1614809662.397921,148,work,,,
1614809662.649376,149,work,,,
