num machines: 3,ticks per second: 5,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614756788.9565701,1,send,1,,
1614756789.05544,1,send,2,,
1614756789.064704,2,work,,,
1614756789.2666292,3,receive,,2,1
1614756789.468548,4,work,,,
1614756789.671746,5,work,,,
1614756789.876437,6,receive,,1,2
1614756790.0767841,7,receive,,2,1
1614756790.2770429,8,work,,,
1614756790.477802,9,receive,,1,1
1614756790.678717,10,work,,,
1614756790.8814201,11,receive,,2,1
1614756791.114211,12,send,1,,
1614756791.147223,12,send,2,,
1614756791.286614,13,work,,,
1614756791.490607,14,work,,,
1614756791.692656,15,work,,,
1614756791.897513,16,work,,,
1614756792.102131,17,work,,,
1614756792.306577,18,work,,,
1614756792.511607,19,work,,,
1614756792.771539,20,send,2,,
1614756792.9159732,21,receive,,1,2
1614756793.121207,22,receive,,2,1
1614756793.3242629,23,work,,,
1614756793.526649,24,work,,,
1614756793.7317371,25,work,,,
1614756793.936028,26,receive,,1,2
1614756794.136832,27,receive,,2,2
1614756794.3382778,28,receive,,1,1
1614756794.543488,29,work,,,
1614756794.7465441,30,work,,,
1614756794.946987,31,receive,,1,1
1614756795.150584,32,receive,,2,1
1614756795.395936,33,send,1,,
1614756795.5567172,34,work,,,
1614756795.757041,35,receive,,2,1
1614756795.957152,36,receive,,1,2
1614756796.157485,37,receive,,2,1
1614756796.357846,38,receive,,1,1
1614756796.5609019,39,work,,,
1614756796.7637818,40,work,,,
1614756796.9674802,41,receive,,2,1
1614756797.1716852,42,work,,,
1614756797.376846,43,receive,,2,1
1614756797.5819361,44,work,,,
1614756797.7867048,45,work,,,
1614756798.028973,46,send,2,,
1614756798.236274,47,send,1,,
1614756798.395075,48,work,,,
1614756798.598845,49,work,,,
1614756798.802342,50,work,,,
1614756799.0056589,51,receive,,2,1
1614756799.249759,52,send,2,,
1614756799.405927,53,work,,,
1614756799.6462379,54,send,2,,
1614756799.811616,55,receive,,2,1
1614756800.015985,56,work,,,
1614756800.2161012,57,receive,,1,1
1614756800.4166741,58,work,,,
1614756800.617046,59,receive,,1,1
1614756800.817209,60,work,,,
1614756801.022292,61,work,,,
1614756801.226685,62,work,,,
1614756801.476819,63,send,1,,
1614756801.6323829,64,work,,,
1614756801.8356218,65,work,,,
1614756802.036795,66,receive,,2,1
1614756802.237231,67,work,,,
1614756802.4391959,68,work,,,
1614756802.643451,69,work,,,
1614756802.846028,70,work,,,
1614756803.088955,71,send,1,,
1614756803.1201348,71,send,2,,
1614756803.300069,72,send,2,,
1614756803.490912,73,send,1,,
1614756803.660807,74,work,,,
1614756803.8608918,75,work,,,
1614756804.115575,76,send,2,,
1614756804.2668202,77,receive,,2,1
1614756804.508296,78,send,2,,
1614756804.667062,79,receive,,1,1
1614756804.903327,80,send,1,,
1614756804.9329941,80,send,2,,
1614756805.1162071,81,send,2,,
1614756805.315946,82,send,2,,
1614756805.4768178,83,work,,,
1614756805.716512,84,send,1,,
1614756805.9169312,85,send,1,,
1614756806.0859048,86,work,,,
1614756806.2860081,87,work,,,
1614756806.4892821,88,work,,,
1614756806.692713,89,work,,,
1614756806.896775,90,work,,,
1614756807.097595,91,work,,,
1614756807.302241,92,work,,,
1614756807.5071511,93,work,,,
1614756807.707184,94,work,,,
1614756807.907637,95,receive,,1,1
1614756808.1115909,96,work,,,
1614756808.316097,97,receive,,2,1
1614756808.519103,98,receive,,1,1
1614756808.721096,99,work,,,
1614756808.922643,100,receive,,1,1
1614756809.126616,101,work,,,
1614756809.3289359,102,work,,,
1614756809.532711,103,work,,,
1614756809.7366989,104,work,,,
1614756809.989005,105,send,2,,
1614756810.1428459,106,receive,,2,1
1614756810.390569,107,send,1,,
1614756810.546836,108,work,,,
1614756810.747079,109,receive,,2,1
1614756810.951203,110,work,,,
1614756811.154028,111,work,,,
1614756811.356708,112,work,,,
1614756811.55675,113,receive,,2,1
1614756811.756822,114,receive,,2,1
1614756811.957647,115,receive,,2,1
1614756812.2006102,116,send,2,,
1614756812.3651469,117,work,,,
1614756812.619227,118,send,1,,
1614756812.769577,119,work,,,
1614756812.972899,120,receive,,2,1
1614756813.175782,121,work,,,
1614756813.378027,122,work,,,
1614756813.5789812,123,receive,,2,1
1614756813.8213718,124,send,1,,
1614756813.857992,124,send,2,,
1614756813.979637,125,work,,,
1614756814.183924,126,work,,,
1614756814.384052,127,work,,,
1614756814.6346471,128,send,1,,
1614756814.820142,129,send,2,,
1614756814.991766,130,work,,,
1614756815.1959848,131,receive,,1,1
1614756815.396992,132,work,,,
1614756815.59951,133,receive,,2,1
1614756815.802217,134,work,,,
1614756816.0057988,135,receive,,1,1
1614756816.205832,136,receive,,1,1
1614756816.410004,137,work,,,
1614756816.614763,138,work,,,
1614756816.816339,139,work,,,
1614756817.0166998,140,work,,,
1614756817.216979,141,work,,,
1614756817.417558,142,receive,,1,2
1614756817.61922,143,receive,,2,1
1614756817.8235881,144,work,,,
1614756818.02696,145,work,,,
1614756818.227217,146,work,,,
1614756818.4315908,147,work,,,
1614756818.6355531,148,receive,,1,1
1614756818.869802,149,send,1,,
1614756819.040303,150,receive,,1,1
1614756819.244587,151,work,,,
1614756819.445927,152,work,,,
1614756819.650379,153,work,,,
1614756819.886744,154,send,1,,
1614756819.922673,154,send,2,,
1614756820.0916219,155,send,2,,
1614756820.289401,156,send,1,,
1614756820.3230588,156,send,2,,
1614756820.4626691,157,work,,,
1614756820.666722,158,work,,,
1614756820.8700569,159,work,,,
1614756821.072244,160,work,,,
1614756821.312942,161,send,1,,
1614756821.345131,161,send,2,,
1614756821.476044,162,receive,,1,1
1614756821.677811,163,work,,,
1614756821.881682,164,work,,,
1614756822.086853,165,receive,,1,2
1614756822.288157,166,receive,,2,1
1614756822.492743,167,receive,,1,1
1614756822.694488,168,work,,,
1614756822.897801,169,work,,,
1614756823.102409,170,receive,,1,1
1614756823.3059258,171,work,,,
1614756823.5062542,172,work,,,
1614756823.7113888,173,work,,,
1614756823.946253,174,send,1,,
1614756824.1585531,175,send,1,,
1614756824.3199959,176,work,,,
1614756824.5214038,178,receive,,2,1
1614756824.7221298,179,work,,,
1614756824.9264362,180,receive,,1,1
1614756825.1777658,181,send,2,,
1614756825.333054,182,receive,,1,1
1614756825.537956,183,work,,,
1614756825.7383199,184,work,,,
1614756825.976771,185,send,2,,
1614756826.139492,186,work,,,
1614756826.384257,187,send,2,,
1614756826.5452712,188,work,,,
1614756826.749537,189,work,,,
1614756826.951995,190,work,,,
1614756827.1565561,191,receive,,1,2
1614756827.356815,192,receive,,2,1
1614756827.55682,193,work,,,
1614756828.0223548,194,send,2,,
1614756828.0537229,195,send,2,,
1614756828.226665,196,receive,,2,2
1614756828.430055,197,receive,,1,2
1614756828.631596,198,receive,,1,1
1614756828.8734121,199,send,1,,
1614756829.037209,200,work,,,
1614756829.240099,201,work,,,
1614756829.4422662,202,receive,,2,1
1614756829.646535,203,work,,,
1614756829.851243,204,work,,,
1614756830.093751,205,send,1,,
1614756830.301346,206,send,1,,
1614756830.3271601,206,send,2,,
1614756830.4599218,207,work,,,
1614756830.660413,209,receive,,1,1
1614756830.893534,210,send,1,,
1614756831.092061,211,send,2,,
1614756831.297311,212,send,1,,
1614756831.323904,212,send,2,,
1614756831.471435,213,work,,,
1614756831.711155,214,send,1,,
1614756831.9120939,215,send,1,,
1614756832.080429,216,work,,,
1614756832.283215,217,work,,,
1614756832.485673,219,receive,,2,1
1614756832.6867561,220,work,,,
1614756832.891974,221,work,,,
1614756833.141042,222,send,2,,
1614756833.296766,223,work,,,
1614756833.496879,224,work,,,
1614756833.731082,225,send,2,,
1614756833.903098,226,work,,,
