num machines: 3,ticks per second: 5,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753447.6740658,1,send,0,,
1614753447.824696,2,work,,,
1614753448.025066,3,work,,,
1614753448.229907,4,work,,,
1614753448.46243,5,send,0,,
1614753448.633184,6,receive,,1,1
1614753448.8345978,7,receive,,1,1
1614753449.037971,8,work,,,
1614753449.2383292,9,work,,,
1614753449.443327,10,work,,,
1614753449.6450539,11,work,,,
1614753449.876905,12,send,0,,
1614753449.903886,12,send,1,,
1614753450.081216,13,send,0,,
1614753450.2540731,14,work,,,
1614753450.4565492,16,receive,,1,1
1614753450.659899,17,work,,,
1614753450.864537,18,work,,,
1614753451.093825,19,send,1,,
1614753451.2653031,20,work,,,
1614753451.4699972,21,work,,,
1614753451.7157629,22,send,0,,
1614753451.8744042,23,work,,,
1614753452.108326,24,send,0,,
1614753452.1382048,24,send,1,,
1614753452.280816,25,work,,,
1614753452.484664,26,work,,,
1614753452.6874702,27,receive,,1,1
1614753452.888421,28,work,,,
1614753453.0914109,29,work,,,
1614753453.2941298,30,receive,,1,1
1614753453.497833,31,work,,,
1614753453.701306,32,receive,,1,1
1614753453.905152,33,work,,,
1614753454.1084092,34,work,,,
1614753454.308654,35,receive,,1,1
1614753454.51068,36,receive,,1,1
1614753454.740882,37,send,0,,
1614753454.772207,37,send,1,,
1614753454.917848,38,work,,,
1614753455.12155,39,work,,,
1614753455.359506,40,send,0,,
1614753455.3991108,40,send,1,,
1614753455.5313091,41,work,,,
1614753455.7340312,42,work,,,
1614753455.9341671,43,receive,,1,1
1614753456.138815,44,work,,,
1614753456.341737,45,receive,,1,1
1614753456.543859,46,work,,,
1614753456.747021,47,work,,,
1614753456.983753,48,send,0,,
1614753457.154155,49,work,,,
1614753457.387079,50,send,0,,
1614753457.5603049,51,receive,,1,1
1614753457.764244,52,work,,,
1614753457.999656,53,send,0,,
1614753458.038056,53,send,1,,
1614753458.167059,54,work,,,
1614753458.367767,55,work,,,
1614753458.5687392,56,work,,,
1614753458.768859,57,work,,,
1614753458.969033,58,receive,,0,1
1614753459.169315,59,work,,,
1614753459.369674,60,work,,,
1614753459.573979,61,work,,,
1614753459.774167,62,work,,,
1614753459.976374,63,work,,,
1614753460.180151,64,work,,,
1614753460.410774,65,send,1,,
1614753460.584793,66,work,,,
1614753460.784836,67,work,,,
1614753460.984999,68,work,,,
1614753461.22435,69,send,0,,
1614753461.253763,69,send,1,,
1614753461.385537,70,work,,,
1614753461.589618,71,work,,,
1614753461.789927,72,work,,,
1614753462.0194502,73,send,0,,
1614753462.194109,74,receive,,1,1
1614753462.424758,75,send,0,,
1614753462.6001742,76,work,,,
1614753462.804214,77,work,,,
1614753463.005053,78,work,,,
