num machines: 12,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614810688.692967,1,send,1,,
1614810688.909798,2,send,3,,
1614810689.1228878,3,receive,,10,5
1614810689.374055,4,receive,,7,6
1614810689.627897,5,receive,,6,6
1614810689.877907,6,receive,,1,7
1614810690.1279318,7,receive,,7,6
1614810690.3779762,8,receive,,11,6
1614810690.6282969,9,receive,,10,5
1614810690.878324,10,receive,,11,6
1614810691.128382,11,receive,,11,6
1614810691.380509,12,receive,,6,7
1614810691.630774,13,receive,,8,7
1614810691.880818,14,receive,,8,7
1614810692.130869,15,receive,,6,6
1614810692.3829892,16,receive,,8,6
1614810692.6345,17,receive,,11,6
1614810692.88802,18,receive,,6,6
1614810693.138599,19,receive,,10,7
1614810693.3912861,20,receive,,9,9
1614810693.641335,21,receive,,8,10
1614810693.895324,22,receive,,9,10
1614810694.147955,23,receive,,10,11
1614810694.3996422,24,receive,,10,13
1614810694.653312,25,receive,,11,14
1614810694.906959,26,receive,,10,15
1614810695.157034,27,receive,,7,17
1614810695.407708,28,receive,,9,17
1614810695.6577542,29,receive,,11,17
1614810695.908881,30,receive,,9,18
1614810696.158915,31,receive,,8,17
1614810696.412081,32,receive,,9,16
1614810696.662109,33,receive,,4,15
1614810696.913959,34,receive,,9,14
1614810697.166819,35,receive,,8,16
1614810697.4190311,36,receive,,6,17
1614810697.6690502,37,receive,,10,17
1614810697.919465,38,receive,,8,16
1614810698.172062,39,receive,,8,15
1614810698.42616,40,receive,,6,14
1614810698.676206,41,receive,,8,14
1614810698.929993,42,receive,,7,14
1614810699.180107,43,receive,,9,17
1614810699.4309819,44,receive,,9,17
1614810699.683637,45,receive,,10,18
1614810699.935528,46,receive,,7,19
1614810700.185647,47,receive,,9,18
1614810700.4357371,48,receive,,7,18
1614810700.685718,49,receive,,3,18
1614810700.9381912,50,receive,,6,17
1614810701.188381,51,receive,,8,16
1614810701.44134,52,receive,,7,17
1614810701.691259,53,receive,,11,16
1614810701.942362,54,receive,,10,16
1614810702.194713,55,receive,,9,16
1614810702.4487271,56,receive,,10,15
1614810702.700159,57,receive,,7,15
1614810702.952002,58,receive,,8,15
1614810703.202013,59,receive,,11,14
1614810703.4523258,60,receive,,10,13
1614810703.702545,61,receive,,10,15
1614810703.955254,62,receive,,9,15
1614810704.2081861,63,receive,,7,14
1614810704.459724,64,receive,,8,14
1614810704.710408,65,receive,,10,14
1614810704.962776,66,receive,,7,14
1614810705.21345,67,receive,,7,14
1614810705.467832,68,receive,,6,14
1614810705.717737,69,receive,,11,15
1614810705.969922,70,receive,,10,15
1614810706.224777,71,receive,,11,15
1614810706.474875,72,receive,,10,14
1614810706.724996,73,receive,,11,15
1614810706.976769,74,receive,,9,16
1614810707.226864,75,receive,,8,16
1614810707.477484,76,receive,,10,17
1614810707.729996,77,receive,,11,16
1614810707.983765,78,receive,,7,17
1614810708.23697,79,receive,,10,17
1614810708.490767,80,receive,,10,19
1614810708.740774,81,receive,,10,19
1614810708.9912791,82,receive,,8,18
1614810709.24302,83,receive,,7,18
1614810709.493522,84,receive,,7,19
1614810709.744925,85,receive,,7,18
1614810709.9964511,86,receive,,7,20
1614810710.24652,87,receive,,9,20
1614810710.496536,88,receive,,11,21
1614810710.746654,89,receive,,8,22
1614810710.9966562,90,receive,,7,24
1614810711.248183,91,receive,,8,23
1614810711.5022452,92,receive,,11,23
1614810711.7563221,93,receive,,11,24
1614810712.006378,94,receive,,6,23
1614810712.259562,95,receive,,6,22
1614810712.5108569,96,receive,,8,22
1614810712.7611258,97,receive,,9,22
1614810713.011771,98,receive,,6,21
1614810713.262487,99,receive,,8,21
1614810713.512558,100,receive,,9,21
1614810713.762725,101,receive,,9,21
1614810714.012896,102,receive,,6,21
1614810714.265685,103,receive,,11,20
1614810714.517162,104,receive,,7,21
1614810714.768254,105,receive,,6,21
1614810715.019189,106,receive,,9,21
1614810715.270617,107,receive,,11,20
1614810715.521493,108,receive,,6,19
1614810715.771583,109,receive,,11,20
1614810716.023257,110,receive,,6,22
1614810716.2733922,111,receive,,9,22
1614810716.523632,112,receive,,11,21
