num machines: 3,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753361.2574341,1,work,,,
1614753361.510596,2,receive,,0,1
1614753361.761525,3,work,,,
1614753362.015021,4,work,,,
1614753362.314914,5,send,0,,
1614753362.342083,5,send,1,,
1614753362.523574,6,receive,,0,1
1614753362.8133981,7,send,0,,
1614753362.841035,7,send,1,,
1614753363.065143,8,send,0,,
1614753363.2792928,9,work,,,
1614753363.530725,10,work,,,
1614753363.7854102,11,work,,,
1614753364.0386188,12,receive,,0,1
1614753364.2888472,13,work,,,
1614753364.541077,14,receive,,1,1
1614753364.830843,15,send,1,,
1614753365.044436,16,work,,,
1614753365.2970629,17,work,,,
1614753365.5474079,18,work,,,
1614753365.841352,19,send,0,,
1614753366.0518558,20,work,,,
1614753366.346228,21,send,0,,
1614753366.379942,21,send,1,,
1614753366.558804,22,work,,,
1614753366.811797,23,work,,,
1614753367.100791,24,send,0,,
1614753367.12748,24,send,1,,
1614753367.364063,25,send,0,,
1614753367.391422,25,send,1,,
1614753367.569267,26,work,,,
1614753367.868495,27,send,0,,
1614753368.108438,28,send,1,,
1614753368.370495,29,send,0,,
1614753368.401113,29,send,1,,
1614753368.58048,30,work,,,
1614753368.834833,31,work,,,
1614753369.08947,32,receive,,0,1
1614753369.385949,33,send,1,,
1614753369.596939,34,work,,,
1614753369.891656,35,send,1,,
1614753370.100823,36,receive,,0,1
1614753370.354723,37,work,,,
1614753370.605414,38,work,,,
1614753370.857484,39,receive,,0,1
1614753371.110944,40,receive,,1,1
1614753371.362669,41,work,,,
1614753371.613597,42,receive,,1,1
1614753371.865462,43,work,,,
1614753372.148736,44,send,1,,
1614753372.370424,45,work,,,
1614753372.625124,46,work,,,
1614753372.87779,47,receive,,0,1
1614753373.130301,48,work,,,
1614753373.38555,49,work,,,
1614753373.637103,50,work,,,
1614753373.934128,51,send,0,,
1614753374.1406798,52,work,,,
1614753374.427604,53,send,0,,
1614753374.645132,54,work,,,
1614753374.939602,55,send,0,,
1614753375.150329,56,work,,,
