num machines: 3,ticks per second: 4,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753447.628793,1,work,,,
1614753447.880691,2,work,,,
1614753448.1314461,3,work,,,
1614753448.416058,4,send,0,,
1614753448.450757,4,send,2,,
1614753448.66238,5,send,0,,
1614753448.695282,5,send,2,,
1614753448.9231548,6,send,0,,
1614753449.14302,7,work,,,
1614753449.3971462,8,work,,,
1614753449.651867,9,work,,,
1614753449.9032068,13,receive,,2,1
1614753450.157826,14,work,,,
1614753450.4420512,15,send,2,,
1614753450.664533,16,work,,,
1614753450.917004,17,work,,,
1614753451.171447,20,receive,,2,1
1614753451.4250581,21,work,,,
1614753451.720758,22,send,0,,
1614753451.9315462,23,work,,,
1614753452.184163,25,receive,,2,1
1614753452.466008,26,send,0,,
1614753452.502214,26,send,2,,
1614753452.69069,27,work,,,
1614753452.9457128,28,work,,,
1614753453.2272298,29,send,0,,
1614753453.255363,29,send,2,,
1614753453.480374,30,send,0,,
1614753453.5082822,30,send,2,,
1614753453.704844,31,work,,,
1614753453.981909,32,send,0,,
1614753454.246315,33,send,2,,
1614753454.486303,34,send,0,,
1614753454.512649,34,send,2,,
1614753454.715183,35,work,,,
1614753454.968837,38,receive,,2,1
1614753455.21997,39,work,,,
1614753455.470551,41,receive,,2,1
1614753455.7602,42,send,2,,
1614753455.9747798,43,work,,,
1614753456.2528582,44,send,2,,
1614753456.480696,45,work,,,
1614753456.734153,46,work,,,
1614753456.9849,47,work,,,
1614753457.2394612,48,work,,,
1614753457.530895,49,send,2,,
1614753457.746742,50,work,,,
1614753458.000989,51,work,,,
1614753458.255025,54,receive,,2,1
1614753458.508765,55,work,,,
1614753458.7628648,56,work,,,
1614753459.017375,57,receive,,0,1
1614753459.271279,58,work,,,
1614753459.55618,59,send,0,,
1614753459.774164,60,work,,,
1614753460.0660238,61,send,0,,
1614753460.2756648,62,work,,,
1614753460.528955,66,receive,,2,1
1614753460.821093,67,send,0,,
1614753461.032141,68,receive,,0,1
1614753461.285567,70,receive,,2,1
1614753461.5401878,71,work,,,
1614753461.790076,72,work,,,
1614753462.072881,73,send,0,,
1614753462.1069,73,send,2,,
1614753462.325866,74,send,0,,
1614753462.545237,75,work,,,
1614753462.795255,76,work,,,
1614753463.0786948,77,send,2,,
1614753463.297732,78,work,,,
1614753463.548699,81,receive,,2,1
1614753463.848119,82,send,0,,
1614753464.054105,83,receive,,2,1
1614753464.304418,84,receive,,2,1
1614753464.595561,85,send,2,,
1614753464.809055,86,work,,,
1614753465.061354,87,work,,,
1614753465.314568,90,receive,,2,1
1614753465.568473,91,receive,,2,1
1614753465.820114,92,receive,,2,1
1614753466.074547,93,work,,,
1614753466.3286788,95,receive,,2,1
1614753466.581331,96,work,,,
1614753466.83406,97,receive,,0,1
1614753467.128942,98,send,0,,
1614753467.37208,99,send,2,,
1614753467.628583,100,send,0,,
1614753467.6572511,100,send,2,,
1614753467.844466,101,work,,,
1614753468.145215,102,send,0,,
1614753468.3523982,103,work,,,
1614753468.607407,106,receive,,2,1
1614753468.889859,107,send,2,,
1614753469.112601,108,work,,,
1614753469.3641138,110,receive,,2,1
1614753469.6142411,111,receive,,2,1
1614753469.865221,112,work,,,
1614753470.1172302,113,work,,,
1614753470.370548,115,receive,,2,1
1614753470.625321,116,receive,,2,1
1614753470.88007,117,receive,,2,1
1614753471.13517,118,work,,,
1614753471.3894122,119,work,,,
1614753471.6841621,120,send,2,,
1614753471.896658,121,work,,,
1614753472.147855,122,work,,,
1614753472.430345,123,send,2,,
1614753472.6546,124,work,,,
1614753472.948498,125,send,0,,
1614753472.975531,125,send,2,,
1614753473.185722,126,send,0,,
1614753473.21312,126,send,2,,
1614753473.4085262,127,work,,,
1614753473.703987,128,send,0,,
1614753473.946094,129,send,0,,
1614753474.168117,133,receive,,2,1
1614753474.4229271,134,work,,,
1614753474.674807,135,work,,,
1614753474.925156,136,work,,,
1614753475.17781,138,receive,,2,1
1614753475.47067,139,send,0,,
1614753475.4990878,139,send,2,,
1614753475.680074,140,work,,,
1614753475.934485,141,work,,,
1614753476.220342,142,send,0,,
1614753476.471167,143,send,2,,
1614753476.6973372,144,work,,,
1614753476.952257,145,work,,,
1614753477.244149,146,send,0,,
1614753477.273652,146,send,2,,
1614753477.461055,147,work,,,
1614753477.715234,151,receive,,2,1
1614753477.965497,152,receive,,2,1
1614753478.2156212,153,work,,,
1614753478.507873,154,send,0,,
1614753478.720402,156,receive,,2,1
1614753478.97507,157,work,,,
1614753479.225528,158,work,,,
1614753479.4807959,159,work,,,
1614753479.734076,160,work,,,
1614753479.9864068,161,receive,,0,1
1614753480.2750762,162,send,2,,
1614753480.49507,164,receive,,2,1
1614753480.745184,165,work,,,
1614753481.0420449,166,send,2,,
1614753481.254244,168,receive,,2,1
1614753481.505209,169,work,,,
1614753481.755185,170,work,,,
1614753482.0053802,171,work,,,
1614753482.2563221,172,work,,,
1614753482.509768,175,receive,,2,1
1614753482.760948,176,work,,,
1614753483.01499,177,work,,,
1614753483.2662442,178,receive,,2,1
1614753483.520627,179,receive,,2,2
1614753483.774025,180,receive,,2,1
1614753484.024815,181,work,,,
1614753484.314969,182,send,0,,
1614753484.527151,184,receive,,2,1
1614753484.780127,185,work,,,
1614753485.034188,186,work,,,
1614753485.285918,187,work,,,
1614753485.5835059,188,send,0,,
1614753485.789846,189,work,,,
